Sample,Analysis,FilteredAge,FilteredAge2sig,Si29,P31,Ti49,Y89,Zr91,Nb93,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf177,Pb204,Pb206,Pb207,Pb208,Th232,U238,Si29_2sig,P31_2sig,Ti49_2sig,Y89_2sig,Zr91_2sig,Nb93_2sig,La139_2sig,Ce140_2sig,Pr141_2sig,Nd146_2sig,Sm147_2sig,Eu153_2sig,Gd157_2sig,Tb159_2sig,Dy163_2sig,Ho165_2sig,Er166_2sig,Tm169_2sig,Yb172_2sig,Lu175_2sig,Hf177_2sig,Pb204_2sig,Pb206_2sig,Pb207_2sig,Pb208_2sig,Th232_2sig,U238_2sig,lambda0,lambda1,lambda2,lambda3,lambda4,Ce_MFR,Eu_MFR
FR3_007,FR3_007 - 124,1730,30,153011.2789,233.1924005,62.52393229,574.7646204,431400,3.713065354,0.294026449,21.36851655,0.341870956,2.725109705,2.552304669,0.38080967,10.73608792,3.569395677,48.2660153,19.32624687,96.13994445,21.1242023,195.9177939,39.83993777,10753.09509,0,60.20545463,6.24468145,8.956469574,109.2053422,204.8763196,5873.069584,27.05426693,8.396386806,27.3630117,12534.04863,0.421306717,0.043174381,1.125884893,0.042425414,0.400918019,0.41516407,0.081020588,1.246797532,0.36869969,3.241158562,1.088955947,5.19340393,1.057100654,8.196629857,1.767492445,408.0339639,0.000636539,2.53892593,0.288126508,0.457621538,5.474090409,7.247339469,4.0873412,-40.5569409,59.2947512,485.1732859,-11203.34679,16.0020469,0.2244567
FR3_007,FR3_007 - 125,1686,26,152425.5852,5040.879487,101.9587639,6898.256297,431400,43.30537661,47.82232854,635.6493488,66.77252258,390.4122724,270.0777235,47.51028959,427.4041005,116.1556541,1041.076454,272.667105,1035.241319,192.8824133,1569.206329,257.3143896,11368.18658,0.056410913,400.8485172,56.40875546,40.10910254,1898.065599,1935.013381,7693.210591,421.5018883,23.73522641,355.9278558,13282.64896,2.892612498,2.487266029,24.8796931,3.405100318,17.2536951,13.7045494,2.361422667,18.1726228,6.643321256,47.98782407,14.49698386,51.16548753,10.07610344,87.77458428,12.41032038,471.3208712,0.046114685,18.13995126,2.721978121,2.317976033,97.24394163,73.61084246,7.7182184,-20.1090939,-23.1793387,-623.546138,-8091.582521,2.5381466,0.4255757
FR3_007,FR3_007 - 126,1745,42,177198.6928,4329.307678,153.0141913,5552.450705,431400,42.43166305,35.032841,601.181096,45.737449,276.1706414,186.2877071,34.29680993,317.5626699,84.95689966,785.4544863,218.6338413,845.0716608,156.8753174,1250.244504,210.3611122,10855.70455,0.072256539,480.1023542,69.43800991,50.21101513,1257.782137,1656.543408,7200.443219,299.3894147,31.24426261,215.6843615,12907.83426,2.618529179,1.934382995,30.81171484,1.808534142,13.10792785,10.37464916,2.001840716,13.33923766,4.371700034,31.64581372,12.38611102,38.69624377,6.691340415,49.94176258,9.477543362,434.401418,0.04797933,17.58414091,2.731256113,2.47880318,58.47061603,63.09658924,7.4297135,-20.9927035,-13.6934236,-511.5634507,-9174.596132,3.3682146,0.4326768
FR3_008,FR3_008 - 001,1545,25,148112.6448,626.225468,10.10432547,2038.462524,431400,2.263378478,0.787999692,31.63895888,0.877114259,7.239530407,10.1067696,2.24850156,47.06175749,15.00324787,182.7048054,68.57891543,328.9972927,65.61979826,592.4907091,117.9977843,9732.775101,0,43.23166742,4.178664098,12.69649665,167.8303839,172.4787204,5763.030652,63.1772205,3.398481762,108.5377014,12539.08655,0.318169418,0.075505976,1.855126019,0.138770153,1.176718426,1.286191564,0.274687949,4.138720987,1.246012195,11.22865039,4.224467986,18.70527281,3.603116483,28.77908006,5.469420139,345.3886399,0.003723047,2.224834428,0.20546169,0.92974843,10.60610254,8.169735506,5.2738038,-42.0455928,9.2320564,974.0270828,429.0418368,10.264075,0.3187078
FR3_008,FR3_008 - 002,1530,24,148181.9548,173.4636084,12.35905042,1385.936602,431400,1.260994525,0.050863552,3.187769265,0.394417739,6.211049655,9.241423538,0.839660965,47.18584111,13.11469343,146.6537078,48.75156962,209.9312535,38.39682986,325.227993,63.07041322,7196.277288,0,18.82215834,1.552862967,3.230985752,47.89968204,89.94217685,5444.27254,22.99040796,3.681649466,48.12352468,12544.32383,0.219446496,0.017724997,0.198895845,0.047502116,0.665128019,0.837172251,0.123018322,2.351147852,0.788858758,6.857774987,2.004344007,8.334092334,1.580349966,12.97858414,2.524995576,257.4312879,0.000316646,0.755931338,0.076273286,0.212145047,1.831800791,3.240760812,4.6875065,-48.7408944,-183.1268728,-653.2993013,-5334.226203,4.8035431,0.1173299
FR3_008,FR3_008 - 006,1563,26,153019.4844,297.2121046,80.33879083,841.7001663,431400,3.315264844,0.193325153,18.59062211,0.319852239,2.741159172,3.60773963,0.476056373,17.36920578,5.669639674,70.30717091,27.27131601,128.5988588,28.18246253,272.3318705,58.28732288,9829.795433,0,44.83931966,4.31249076,11.1342256,139.4338392,173.760289,5812.517676,42.3135527,9.95749491,38.5606117,12544.32383,0.398165193,0.035264407,0.737489436,0.041934347,0.40829683,0.505519315,0.092328005,1.421455793,0.418124503,4.408386554,1.352287472,6.367552725,1.413757678,12.45172569,2.574438968,352.3142013,0.00028582,2.416678112,0.246985721,0.777843618,8.100008863,8.313900208,4.2965598,-44.4116255,5.8712126,422.1680168,-2310.585044,19.1396268,0.1829091
FR3_008,FR3_008 - 007,1624,25,150543.5695,307.7733749,20.06539764,1130.481317,431400,2.284557938,0.125966257,49.88362882,0.827651771,11.10262453,12.72625829,3.56823668,46.15606595,11.14064045,114.2873466,36.98668239,164.7774361,31.18406461,276.64119,54.1138507,8223.011804,0,23.93100973,1.856135003,19.39130698,316.7940849,121.2451538,5614.249726,30.67586189,4.387043823,44.17257534,12503.52169,0.279312642,0.026294498,1.754773633,0.072303414,0.949799621,1.019441565,0.308282645,2.151324389,0.617522873,5.719940323,1.68007499,6.990558168,1.495815827,10.86298373,2.17369741,290.1047857,0.000293668,0.882045706,0.084019622,0.900224743,12.74102996,4.556942136,4.8339712,-41.7303211,-148.3356397,-1312.030823,-5601.878799,31.6707208,0.4452174
FR3_008,FR3_008 - 008,1544,26,151350.7374,647.0944292,2.83521218,1415.486351,431400,3.383665595,0,15.88783584,0.041281498,1.220247665,3.20095581,0.694604287,22.30008471,8.217587215,115.3480904,47.09617565,239.570912,50.62549671,482.1886683,100.7636857,8699.655371,0,30.08759908,2.9282339,4.285474253,45.97971986,105.5169638,5559.451629,51.79590347,1.498420697,53.32245743,12462.45942,0.3398135,0.002109134,0.676977605,0.012389296,0.227800798,0.404605897,0.095585741,1.258717827,0.430762059,4.913362935,1.891634477,9.896237946,2.229719409,22.20495609,4.944641006,326.8460052,0.00048869,1.748180105,0.186353949,0.401755422,3.424630285,5.527439412,3.7418174,-70.9389952,-284.8293005,-1844.035321,-17149.44749,482.835864,0.2347931
FR3_008,FR3_008 - 009,1637,31,154600.2679,340.8740559,20.68229328,514.3410905,431400,3.034284458,1.980176715,46.36438135,2.05935235,12.78735394,8.868792784,1.90129057,19.42195664,5.139075592,52.5176504,16.69685373,83.14361838,19.38206583,210.5391939,48.95633431,11026.10015,0,60.08707465,4.741424554,14.25742813,290.9823848,329.5393661,5984.718306,34.10956268,4.706354775,54.09798989,12515.67909,0.433138074,0.237116606,3.1281947,0.211185768,1.395056463,0.93245804,0.222695025,1.950350056,0.514513915,4.904339411,1.696979946,9.0057369,1.982063333,19.02794671,4.136750837,406.9058428,0.000592099,6.387149794,0.501361273,0.996630602,26.47418592,39.58438817,4.8151377,-27.9744411,80.7628249,-969.9529086,202.1684542,5.5159999,0.4498206
FR3_008,FR3_008 - 011,1565,24,152670.31,376.8822633,2.528661071,778.0468605,431400,2.136083875,0.094651269,16.69668194,0.179363773,1.886124379,3.319165819,1.064416341,14.76933141,4.672507654,60.85534243,24.26458648,125.488169,27.87213747,289.211246,64.46838353,9469.74575,0,47.98453017,4.936604874,10.18991701,108.8937129,163.4164068,5853.497452,52.44028169,1.785210455,38.56103715,12567.52374,0.310055334,0.026115903,1.335551366,0.032582144,0.353321765,0.508535226,0.160473677,1.467288375,0.354170524,4.28308952,1.620877561,7.332158712,1.418283635,15.58568508,3.269808562,345.5590768,0.000730009,2.690557118,0.297316292,0.768424681,8.304214918,9.709227473,4.0793282,-48.5016817,-9.9812315,185.7119222,3852.940259,32.9480929,0.4748578
